answer,score,correct,cleaned_text,tokens,stemmed_tokens,lemmatized_tokens
"both based on control statement, involve repetition, and involve a termination test within loops",5.0,1.0,both based on control statement involve repetition and involve a termination test within loops,"['based', 'control', 'statement', 'involve', 'repetition', 'involve', 'termination', 'test', 'within', 'loops']",base control statement involv repetit involv termin test within loop,based control statement involve repetition involve termination test within loop
they are methods of repeating the same task.,2.0,0.0,they are methods of repeating the same task,"['methods', 'repeating', 'task']",method repeat task,method repeating task
Both involve a termination test. They use a control statement and repition to solve the problem. They can also result in an infinite loop.,5.0,1.0,both involve a termination test they use a control statement and repition to solve the problem they can also result in an infinite loop,"['involve', 'termination', 'test', 'use', 'control', 'statement', 'repition', 'solve', 'problem', 'also', 'result', 'infinite', 'loop']",involv termin test use control statement repit solv problem also result infinit loop,involve termination test use control statement repition solve problem also result infinite loop
"based on a control statement, involve repetition, involve a termination test.",5.0,1.0,based on a control statement involve repetition involve a termination test,"['based', 'control', 'statement', 'involve', 'repetition', 'involve', 'termination', 'test']",base control statement involv repetit involv termin test,based control statement involve repetition involve termination test
Both are bases on a control statement. Both involve repetition. Both involve a termination test. Both gradually approach termination. Both can occur infinitely.,5.0,1.0,both are bases on a control statement both involve repetition both involve a termination test both gradually approach termination both can occur infinitely,"['bases', 'control', 'statement', 'involve', 'repetition', 'involve', 'termination', 'test', 'gradually', 'approach', 'termination', 'occur', 'infinitely']",base control statement involv repetit involv termin test gradual approach termin occur infinit,base control statement involve repetition involve termination test gradually approach termination occur infinitely
"both based on a control statement, both involve repitition, both involve a termination test, both gradually approach termination, both can potentially occur infinetly.",5.0,1.0,both based on a control statement both involve repitition both involve a termination test both gradually approach termination both can potentially occur infinetly,"['based', 'control', 'statement', 'involve', 'repitition', 'involve', 'termination', 'test', 'gradually', 'approach', 'termination', 'potentially', 'occur', 'infinetly']",base control statement involv repitit involv termin test gradual approach termin potenti occur infinetli,based control statement involve repitition involve termination test gradually approach termination potentially occur infinetly
"they are both based on a control statement, both involve repetition, both involve a termination case, both graduatlly approach that termination case, and both can occur infinitely",5.0,1.0,they are both based on a control statement both involve repetition both involve a termination case both graduatlly approach that termination case and both can occur infinitely,"['based', 'control', 'statement', 'involve', 'repetition', 'involve', 'termination', 'case', 'graduatlly', 'approach', 'termination', 'case', 'occur', 'infinitely']",base control statement involv repetit involv termin case graduatlli approach termin case occur infinit,based control statement involve repetition involve termination case graduatlly approach termination case occur infinitely
"They both use repetition, a control or test to terminate, and both can infinitely repeat if not defined correctly.",5.0,1.0,they both use repetition a control or test to terminate and both can infinitely repeat if not defined correctly,"['use', 'repetition', 'control', 'test', 'terminate', 'infinitely', 'repeat', 'defined', 'correctly']",use repetit control test termin infinit repeat defin correctli,use repetition control test terminate infinitely repeat defined correctly
"Both are based on a control statement; both gradually approach termination ending with a termination test; both involve repetition, and can both repeat infinitely if their termination requirements are not met.",5.0,1.0,both are based on a control statement both gradually approach termination ending with a termination test both involve repetition and can both repeat infinitely if their termination requirements are not met,"['based', 'control', 'statement', 'gradually', 'approach', 'termination', 'ending', 'termination', 'test', 'involve', 'repetition', 'repeat', 'infinitely', 'termination', 'requirements', 'met']",base control statement gradual approach termin end termin test involv repetit repeat infinit termin requir met,based control statement gradually approach termination ending termination test involve repetition repeat infinitely termination requirement met
"both are based on a control statement, involve repetition and involve a termination test. both gradually approach termination, both can occur infinitely",5.0,1.0,both are based on a control statement involve repetition and involve a termination test both gradually approach termination both can occur infinitely,"['based', 'control', 'statement', 'involve', 'repetition', 'involve', 'termination', 'test', 'gradually', 'approach', 'termination', 'occur', 'infinitely']",base control statement involv repetit involv termin test gradual approach termin occur infinit,based control statement involve repetition involve termination test gradually approach termination occur infinitely
they are used to solve the same type of problems. they do a task over and over again until a cirtain conditional statement is reachedits called the base case in recursion.,3.5,0.0,they are used to solve the same type of problems they do a task over and over again until a cirtain conditional statement is reachedits called the base case in recursion,"['used', 'solve', 'type', 'problems', 'task', 'cirtain', 'conditional', 'statement', 'reachedits', 'called', 'base', 'case', 'recursion']",use solv type problem task cirtain condit statement reachedit call base case recurs,used solve type problem task cirtain conditional statement reachedits called base case recursion
Based on control statement; involve repetition; involve a terminal test; both can occur infinitly,5.0,1.0,based on control statement involve repetition involve a terminal test both can occur infinitly,"['based', 'control', 'statement', 'involve', 'repetition', 'involve', 'terminal', 'test', 'occur', 'infinitly']",base control statement involv repetit involv termin test occur infinitli,based control statement involve repetition involve terminal test occur infinitly
"repetition, termination test, eventually terminate, occur infinately",5.0,1.0,repetition termination test eventually terminate occur infinately,"['repetition', 'termination', 'test', 'eventually', 'terminate', 'occur', 'infinately']",repetit termin test eventu termin occur infin,repetition termination test eventually terminate occur infinately
both need to have some kind of base case to tell when the loop needs to stop.,3.0,0.0,both need to have some kind of base case to tell when the loop needs to stop,"['need', 'kind', 'base', 'case', 'tell', 'loop', 'needs', 'stop']",need kind base case tell loop need stop,need kind base case tell loop need stop
"they both are able to do repetiive tasks. however recurisve calls itself with different parameters and defines and exit clause that is guaranteeed to be reached. Iterative includes a loop which iterates a pre-determined number of times, or checks for an exit clause every time through",3.5,0.0,they both are able to do repetiive tasks however recurisve calls itself with different parameters and defines and exit clause that is guaranteeed to be reached iterative includes a loop which iterates a pre-determined number of times or checks for an exit clause every time through,"['able', 'repetiive', 'tasks', 'however', 'recurisve', 'calls', 'different', 'parameters', 'defines', 'exit', 'clause', 'guaranteeed', 'reached', 'iterative', 'includes', 'loop', 'iterates', 'pre-determined', 'number', 'times', 'checks', 'exit', 'clause', 'every', 'time']",abl repeti task howev recurisv call differ paramet defin exit claus guarantee reach iter includ loop iter pre-determin number time check exit claus everi time,able repetiive task however recurisve call different parameter defines exit clause guaranteeed reached iterative includes loop iterates pre-determined number time check exit clause every time
int n [10]; or or array of 10 integers and int n [arraySize] or or where arraySize is some positive integer defined by the user,4.0,1.0,int n 10 or or array of 10 integers and int n arraysize or or where arraysize is some positive integer defined by the user,"['int', 'n', '10', 'array', '10', 'integers', 'int', 'n', 'arraysize', 'arraysize', 'positive', 'integer', 'defined', 'user']",int n 10 array 10 integ int n arrays arrays posit integ defin user,int n 10 array 10 integer int n arraysize arraysize positive integer defined user
by either inputing the different elements in the array at coding or giving the array specifacations as to the size of the array. it is also possible when giving it specifacations to tell the array to grow as needed.,4.0,1.0,by either inputing the different elements in the array at coding or giving the array specifacations as to the size of the array it is also possible when giving it specifacations to tell the array to grow as needed,"['either', 'inputing', 'different', 'elements', 'array', 'coding', 'giving', 'array', 'specifacations', 'size', 'array', 'also', 'possible', 'giving', 'specifacations', 'tell', 'array', 'grow', 'needed']",either input differ element array code give array specifac size array also possibl give specifac tell array grow need,either inputing different element array coding giving array specifacations size array also possible giving specifacations tell array grow needed
You can initialize and array by using an initializer list in its declaration or by initializing its size with a constant variable.,5.0,1.0,you can initialize and array by using an initializer list in its declaration or by initializing its size with a constant variable,"['initialize', 'array', 'using', 'initializer', 'list', 'declaration', 'initializing', 'size', 'constant', 'variable']",initi array use initi list declar initi size constant variabl,initialize array using initializer list declaration initializing size constant variable
Pass the length along with the array or use a vector.,3.0,0.0,pass the length along with the array or use a vector,"['pass', 'length', 'along', 'array', 'use', 'vector']",pass length along array use vector,pas length along array use vector
"One way is to declare a size of the array using a variable that is equal to an integer. The other way, if the size is omitted in the declaration, the compiler determines the size of the array based on the size of the initializer list.",5.0,1.0,one way is to declare a size of the array using a variable that is equal to an integer the other way if the size is omitted in the declaration the compiler determines the size of the array based on the size of the initializer list,"['one', 'way', 'declare', 'size', 'array', 'using', 'variable', 'equal', 'integer', 'way', 'size', 'omitted', 'declaration', 'compiler', 'determines', 'size', 'array', 'based', 'size', 'initializer', 'list']",one way declar size array use variabl equal integ way size omit declar compil determin size array base size initi list,one way declare size array using variable equal integer way size omitted declaration compiler determines size array based size initializer list
"In the declarationint array [x]or with an initilizerint array [] equals 0,1,2, etc.",5.0,1.0,in the declarationint array xor with an initilizerint array equals 012 etc,"['declarationint', 'array', 'xor', 'initilizerint', 'array', 'equals', '012', 'etc']",declarationint array xor initilizerint array equal 012 etc,declarationint array xor initilizerint array equal 012 etc
"1. Declare the length of the arrayint array [10];2. Initialize the arrayint array [] equals 0, 1, 2, 3; or or compiler will assume size of 4",5.0,1.0,1 declare the length of the arrayint array 102 initialize the arrayint array equals 0 1 2 3 or or compiler will assume size of 4,"['1', 'declare', 'length', 'arrayint', 'array', '102', 'initialize', 'arrayint', 'array', 'equals', '0', '1', '2', '3', 'compiler', 'assume', 'size', '4']",1 declar length arrayint array 102 initi arrayint array equal 0 1 2 3 compil assum size 4,1 declare length arrayint array 102 initialize arrayint array equal 0 1 2 3 compiler assume size 4
statically and dynamically,2.5,0.0,statically and dynamically,"['statically', 'dynamically']",static dynam,statically dynamically
Explicitly int array [10]; or by variable const int size equals 10; int array [size];,4.0,1.0,explicitly int array 10 or by variable const int size equals 10 int array size,"['explicitly', 'int', 'array', '10', 'variable', 'const', 'int', 'size', 'equals', '10', 'int', 'array', 'size']",explicitli int array 10 variabl const int size equal 10 int array size,explicitly int array 10 variable const int size equal 10 int array size
"Array lengths can be explicitly specified by inputing the number of elements between the brackets [] during declaration, or implicitly by including an initializer list WITHOUT specifying a number between [], the compiler will automatically declare the array with the proper number of elements needed for the list.",5.0,1.0,array lengths can be explicitly specified by inputing the number of elements between the brackets during declaration or implicitly by including an initializer list without specifying a number between the compiler will automatically declare the array with the proper number of elements needed for the list,"['array', 'lengths', 'explicitly', 'specified', 'inputing', 'number', 'elements', 'brackets', 'declaration', 'implicitly', 'including', 'initializer', 'list', 'without', 'specifying', 'number', 'compiler', 'automatically', 'declare', 'array', 'proper', 'number', 'elements', 'needed', 'list']",array length explicitli specifi input number element bracket declar implicitli includ initi list without specifi number compil automat declar array proper number element need list,array length explicitly specified inputing number element bracket declaration implicitly including initializer list without specifying number compiler automatically declare array proper number element needed list
Specify an array s size with a constant variable. And setting array elements with calculations.,3.5,0.0,specify an array s size with a constant variable and setting array elements with calculations,"['specify', 'array', 'size', 'constant', 'variable', 'setting', 'array', 'elements', 'calculations']",specifi array size constant variabl set array element calcul,specify array size constant variable setting array element calculation
"statically, using and dynamically, using []",4.0,1.0,statically using and dynamically using,"['statically', 'using', 'dynamically', 'using']",static use dynam use,statically using dynamically using
"define it as array [5] or array [1,2,3,4,5]",4.5,1.0,define it as array 5 or array 12345,"['define', 'array', '5', 'array', '12345']",defin array 5 array 12345,define array 5 array 12345
Static and dynamic.,2.5,0.0,static and dynamic,"['static', 'dynamic']",static dynam,static dynamic
manually inside the brackets or automatically via an initializer list,5.0,1.0,manually inside the brackets or automatically via an initializer list,"['manually', 'inside', 'brackets', 'automatically', 'via', 'initializer', 'list']",manual insid bracket automat via initi list,manually inside bracket automatically via initializer list
"You can use an initializer list, or simply tell the compiler how many elements you want in the array. For an Initializer list: int a [] equals 10, 2, 3, 4, 5; For an elemental declaration: int b [5]; Both arrays have 5 elements in them, but array a is already initialized.",5.0,1.0,you can use an initializer list or simply tell the compiler how many elements you want in the array for an initializer list int a equals 10 2 3 4 5 for an elemental declaration int b 5 both arrays have 5 elements in them but array a is already initialized,"['use', 'initializer', 'list', 'simply', 'tell', 'compiler', 'many', 'elements', 'want', 'array', 'initializer', 'list', 'int', 'equals', '10', '2', '3', '4', '5', 'elemental', 'declaration', 'int', 'b', '5', 'arrays', '5', 'elements', 'array', 'already', 'initialized']",use initi list simpli tell compil mani element want array initi list int equal 10 2 3 4 5 element declar int b 5 array 5 element array alreadi initi,use initializer list simply tell compiler many element want array initializer list int equal 10 2 3 4 5 elemental declaration int b 5 array 5 element array already initialized
"In a string you can specify with the strlenarraynamecommand. This gets the length of the string. Another way is with integers where you initiate the size from the start, ex array [40] specifying a possible length of up to 40. Then it is passed by an object the actual ammout in the array. Another way is to declare it in an initializing program.",4.5,1.0,in a string you can specify with the strlenarraynamecommand this gets the length of the string another way is with integers where you initiate the size from the start ex array 40 specifying a possible length of up to 40 then it is passed by an object the actual ammout in the array another way is to declare it in an initializing program,"['string', 'specify', 'strlenarraynamecommand', 'gets', 'length', 'string', 'another', 'way', 'integers', 'initiate', 'size', 'start', 'ex', 'array', '40', 'specifying', 'possible', 'length', '40', 'passed', 'object', 'actual', 'ammout', 'array', 'another', 'way', 'declare', 'initializing', 'program']",string specifi strlenarraynamecommand get length string anoth way integ initi size start ex array 40 specifi possibl length 40 pass object actual ammout array anoth way declar initi program,string specify strlenarraynamecommand get length string another way integer initiate size start ex array 40 specifying possible length 40 passed object actual ammout array another way declare initializing program
"Implicit, namely when you give it values, like 1,2,3,4,5,6,7,8,9, at which the compiler will automatically give this a size. Static, during the declaration.",5.0,1.0,implicit namely when you give it values like 123456789 at which the compiler will automatically give this a size static during the declaration,"['implicit', 'namely', 'give', 'values', 'like', '123456789', 'compiler', 'automatically', 'give', 'size', 'static', 'declaration']",implicit name give valu like 123456789 compil automat give size static declar,implicit namely give value like 123456789 compiler automatically give size static declaration
"Supply an integer inside the brackets or the compiler counts the number of elements in the initializer list. int n [5]; int n [] equals 1,2,3,4,5",5.0,1.0,supply an integer inside the brackets or the compiler counts the number of elements in the initializer list int n 5 int n equals 12345,"['supply', 'integer', 'inside', 'brackets', 'compiler', 'counts', 'number', 'elements', 'initializer', 'list', 'int', 'n', '5', 'int', 'n', 'equals', '12345']",suppli integ insid bracket compil count number element initi list int n 5 int n equal 12345,supply integer inside bracket compiler count number element initializer list int n 5 int n equal 12345
either initializing the array with a specific length or initializing an array while declaring its contents.,5.0,1.0,either initializing the array with a specific length or initializing an array while declaring its contents,"['either', 'initializing', 'array', 'specific', 'length', 'initializing', 'array', 'declaring', 'contents']",either initi array specif length initi array declar content,either initializing array specific length initializing array declaring content
within the brackets or by using an initializer list.,5.0,1.0,within the brackets or by using an initializer list,"['within', 'brackets', 'using', 'initializer', 'list']",within bracket use initi list,within bracket using initializer list
specify the number of elements in the array declaration with a constant or using a constant variable for future scalability,4.0,1.0,specify the number of elements in the array declaration with a constant or using a constant variable for future scalability,"['specify', 'number', 'elements', 'array', 'declaration', 'constant', 'using', 'constant', 'variable', 'future', 'scalability']",specifi number element array declar constant use constant variabl futur scalabl,specify number element array declaration constant using constant variable future scalability
with a number and with a variable,3.0,0.0,with a number and with a variable,"['number', 'variable']",number variabl,number variable
"explicitly, by declaring it in bracketsi. e. int array [50];and implicitly, by initializing several valuesi. e. int array [] equals 1, 2, 3;",5.0,1.0,explicitly by declaring it in bracketsi e int array 50and implicitly by initializing several valuesi e int array equals 1 2 3,"['explicitly', 'declaring', 'bracketsi', 'e', 'int', 'array', '50and', 'implicitly', 'initializing', 'several', 'valuesi', 'e', 'int', 'array', 'equals', '1', '2', '3']",explicitli declar bracketsi e int array 50and implicitli initi sever valuesi e int array equal 1 2 3,explicitly declaring bracketsi e int array 50and implicitly initializing several valuesi e int array equal 1 2 3
"one way of specifying of array is A [10]; other way of specifying array is a [arraysize] equals [1,2,3,4,5,6,7,8,9,10",4.5,1.0,one way of specifying of array is a 10 other way of specifying array is a arraysize equals 12345678910,"['one', 'way', 'specifying', 'array', '10', 'way', 'specifying', 'array', 'arraysize', 'equals', '12345678910']",one way specifi array 10 way specifi array arrays equal 12345678910,one way specifying array 10 way specifying array arraysize equal 12345678910
1-Initializing an array in a declaration with an initializer list 2-Specifying an array s size with a constant variable,5.0,1.0,1-initializing an array in a declaration with an initializer list 2-specifying an array s size with a constant variable,"['1-initializing', 'array', 'declaration', 'initializer', 'list', '2-specifying', 'array', 'size', 'constant', 'variable']",1-initi array declar initi list 2-specifi array size constant variabl,1-initializing array declaration initializer list 2-specifying array size constant variable
"Initializing the size in the brackets: int a [100]; Initializing the length by assigning variables: int a [] equals 1,2,3;",5.0,1.0,initializing the size in the brackets int a 100 initializing the length by assigning variables int a equals 123,"['initializing', 'size', 'brackets', 'int', '100', 'initializing', 'length', 'assigning', 'variables', 'int', 'equals', '123']",initi size bracket int 100 initi length assign variabl int equal 123,initializing size bracket int 100 initializing length assigning variable int equal 123
user defined value or by the number of elements in initializer list,5.0,1.0,user defined value or by the number of elements in initializer list,"['user', 'defined', 'value', 'number', 'elements', 'initializer', 'list']",user defin valu number element initi list,user defined value number element initializer list
"you can assign the size of it inside the brackets when you declare the array [3], or you can have it set by how many items you set the array equal to 1,2,3",5.0,1.0,you can assign the size of it inside the brackets when you declare the array 3 or you can have it set by how many items you set the array equal to 123,"['assign', 'size', 'inside', 'brackets', 'declare', 'array', '3', 'set', 'many', 'items', 'set', 'array', 'equal', '123']",assign size insid bracket declar array 3 set mani item set array equal 123,assign size inside bracket declare array 3 set many item set array equal 123
"use an arraylist, or have your program ask the array how many elements it has. As an obj it it should have member length that is the number of slots it has.",4.0,1.0,use an arraylist or have your program ask the array how many elements it has as an obj it it should have member length that is the number of slots it has,"['use', 'arraylist', 'program', 'ask', 'array', 'many', 'elements', 'obj', 'member', 'length', 'number', 'slots']",use arraylist program ask array mani element obj member length number slot,use arraylist program ask array many element obj member length number slot
"strings that are used in an char array are much easier to manipulate than as a string object, because each character is stored separately rather than as a whole",2.5,0.0,strings that are used in an char array are much easier to manipulate than as a string object because each character is stored separately rather than as a whole,"['strings', 'used', 'char', 'array', 'much', 'easier', 'manipulate', 'string', 'object', 'character', 'stored', 'separately', 'rather', 'whole']",string use char array much easier manipul string object charact store separ rather whole,string used char array much easier manipulate string object character stored separately rather whole
"the type string uses less storage and you have to change the string all at once. with an array of characters you can make permutations of words using the characters stored in the array, without needing to actually access and change the variables. with an array of characters you can just change how they are accessed.",3.0,0.0,the type string uses less storage and you have to change the string all at once with an array of characters you can make permutations of words using the characters stored in the array without needing to actually access and change the variables with an array of characters you can just change how they are accessed,"['type', 'string', 'uses', 'less', 'storage', 'change', 'string', 'array', 'characters', 'make', 'permutations', 'words', 'using', 'characters', 'stored', 'array', 'without', 'needing', 'actually', 'access', 'change', 'variables', 'array', 'characters', 'change', 'accessed']",type string use less storag chang string array charact make permut word use charact store array without need actual access chang variabl array charact chang access,type string us le storage change string array character make permutation word using character stored array without needing actually access change variable array character change accessed
"Unlike in a string declared using type string, in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character.",5.0,1.0,unlike in a string declared using type string in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character,"['unlike', 'string', 'declared', 'using', 'type', 'string', 'string', 'declared', 'using', 'array', 'characters', 'programmer', 'must', 'provide', 'null', 'terminating', 'character', 'must', 'ensure', 'array', 'large', 'enough', 'hold', 'string', 'null', 'terminating', 'character']",unlik string declar use type string string declar use array charact programm must provid null termin charact must ensur array larg enough hold string null termin charact,unlike string declared using type string string declared using array character programmer must provide null terminating character must ensure array large enough hold string null terminating character
"All strings represented by character arrays end with the null character. You declare an object of type string just like any other type, for example: string s;",5.0,1.0,all strings represented by character arrays end with the null character you declare an object of type string just like any other type for example string s,"['strings', 'represented', 'character', 'arrays', 'end', 'null', 'character', 'declare', 'object', 'type', 'string', 'like', 'type', 'example', 'string']",string repres charact array end null charact declar object type string like type exampl string,string represented character array end null character declare object type string like type example string
"By using an array of characters, one can store and manipulate the strings rather than just having a type string variable.",2.5,0.0,by using an array of characters one can store and manipulate the strings rather than just having a type string variable,"['using', 'array', 'characters', 'one', 'store', 'manipulate', 'strings', 'rather', 'type', 'string', 'variable']",use array charact one store manipul string rather type string variabl,using array character one store manipulate string rather type string variable
type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of wordsor an array of char arrays,2.0,0.0,type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of wordsor an array of char arrays,"['type', 'string', 'array', 'chars', 'make', 'array', 'single', 'letter', 'characters', 'array', 'strings', 'actual', 'array', 'wordsor', 'array', 'char', 'arrays']",type string array char make array singl letter charact array string actual array wordsor array char array,type string array char make array single letter character array string actual array wordsor array char array
"They are basically the same, however, a string ends with a null character, denoting the end of the stringand the size. A char array has potential to be any size, so it must be declared or limited.",3.5,0.0,they are basically the same however a string ends with a null character denoting the end of the stringand the size a char array has potential to be any size so it must be declared or limited,"['basically', 'however', 'string', 'ends', 'null', 'character', 'denoting', 'end', 'stringand', 'size', 'char', 'array', 'potential', 'size', 'must', 'declared', 'limited']",basic howev string end null charact denot end stringand size char array potenti size must declar limit,basically however string end null character denoting end stringand size char array potential size must declared limited
string is a class in the standard library and has method that modify it. Whereas the char array is on able to be modifie by the user.,4.0,1.0,string is a class in the standard library and has method that modify it whereas the char array is on able to be modifie by the user,"['string', 'class', 'standard', 'library', 'method', 'modify', 'whereas', 'char', 'array', 'able', 'modifie', 'user']",string class standard librari method modifi wherea char array abl modifi user,string class standard library method modify whereas char array able modifie user
"By using an array of characters, you are limited to the size of the array of characters. By declaring by type the end of the string is acknowledged by white space.",3.5,0.0,by using an array of characters you are limited to the size of the array of characters by declaring by type the end of the string is acknowledged by white space,"['using', 'array', 'characters', 'limited', 'size', 'array', 'characters', 'declaring', 'type', 'end', 'string', 'acknowledged', 'white', 'space']",use array charact limit size array charact declar type end string acknowledg white space,using array character limited size array character declaring type end string acknowledged white space
"The data class type string are designed to handle character data, and has many functions built into the class library to deal with them. An array of characters however is subject to all the same rules of any other array with no real additional functionality. Another difference is that the string class deals with the null character implicitly, unlike an array of characters, which must handle the null character explicitly.",5.0,1.0,the data class type string are designed to handle character data and has many functions built into the class library to deal with them an array of characters however is subject to all the same rules of any other array with no real additional functionality another difference is that the string class deals with the null character implicitly unlike an array of characters which must handle the null character explicitly,"['data', 'class', 'type', 'string', 'designed', 'handle', 'character', 'data', 'many', 'functions', 'built', 'class', 'library', 'deal', 'array', 'characters', 'however', 'subject', 'rules', 'array', 'real', 'additional', 'functionality', 'another', 'difference', 'string', 'class', 'deals', 'null', 'character', 'implicitly', 'unlike', 'array', 'characters', 'must', 'handle', 'null', 'character', 'explicitly']",data class type string design handl charact data mani function built class librari deal array charact howev subject rule array real addit function anoth differ string class deal null charact implicitli unlik array charact must handl null charact explicitli,data class type string designed handle character data many function built class library deal array character however subject rule array real additional functionality another difference string class deal null character implicitly unlike array character must handle null character explicitly
string declared used in an array of characters contains each character in the array and a special string-termination character called the null character versus the type string.,5.0,1.0,string declared used in an array of characters contains each character in the array and a special string-termination character called the null character versus the type string,"['string', 'declared', 'used', 'array', 'characters', 'contains', 'character', 'array', 'special', 'string-termination', 'character', 'called', 'null', 'character', 'versus', 'type', 'string']",string declar use array charact contain charact array special string-termin charact call null charact versu type string,string declared used array character contains character array special string-termination character called null character versus type string
A char array reads a string as each individual character. A string literal array reads the entire string.,3.0,0.0,a char array reads a string as each individual character a string literal array reads the entire string,"['char', 'array', 'reads', 'string', 'individual', 'character', 'string', 'literal', 'array', 'reads', 'entire', 'string']",char array read string individu charact string liter array read entir string,char array read string individual character string literal array read entire string
array of characters can only hold as many characters as the array size and strings are not that limited.,4.0,1.0,array of characters can only hold as many characters as the array size and strings are not that limited,"['array', 'characters', 'hold', 'many', 'characters', 'array', 'size', 'strings', 'limited']",array charact hold mani charact array size string limit,array character hold many character array size string limited
"Stings can only be modified by functions of the String class, an array of characters can be modified by the user",3.5,0.0,stings can only be modified by functions of the string class an array of characters can be modified by the user,"['stings', 'modified', 'functions', 'string', 'class', 'array', 'characters', 'modified', 'user']",sting modifi function string class array charact modifi user,sting modified function string class array character modified user
"if by type string, the array contains an additional terminating null character",4.0,1.0,if by type string the array contains an additional terminating null character,"['type', 'string', 'array', 'contains', 'additional', 'terminating', 'null', 'character']",type string array contain addit termin null charact,type string array contains additional terminating null character
The array of characters has a null character 0 at the end of the array to signify the array 's end. The string does not have this.,5.0,1.0,the array of characters has a null character 0 at the end of the array to signify the array s end the string does not have this,"['array', 'characters', 'null', 'character', '0', 'end', 'array', 'signify', 'array', 'end', 'string']",array charact null charact 0 end array signifi array end string,array character null character 0 end array signify array end string
strings with type string are just that. Strings. They are not part of an array list at all where as one declared by an array is actually an array of characters able to be pointed and detected.,3.0,0.0,strings with type string are just that strings they are not part of an array list at all where as one declared by an array is actually an array of characters able to be pointed and detected,"['strings', 'type', 'string', 'strings', 'part', 'array', 'list', 'one', 'declared', 'array', 'actually', 'array', 'characters', 'able', 'pointed', 'detected']",string type string string part array list one declar array actual array charact abl point detect,string type string string part array list one declared array actually array character able pointed detected
"the array of characters has a set length, while the type string has virtually unlimited length.",4.0,1.0,the array of characters has a set length while the type string has virtually unlimited length,"['array', 'characters', 'set', 'length', 'type', 'string', 'virtually', 'unlimited', 'length']",array charact set length type string virtual unlimit length,array character set length type string virtually unlimited length
Char array Individual letters can be accessed directly with array subscript notation. String array array subscript will return the entire string.,2.0,0.0,char array individual letters can be accessed directly with array subscript notation string array array subscript will return the entire string,"['char', 'array', 'individual', 'letters', 'accessed', 'directly', 'array', 'subscript', 'notation', 'string', 'array', 'array', 'subscript', 'return', 'entire', 'string']",char array individu letter access directli array subscript notat string array array subscript return entir string,char array individual letter accessed directly array subscript notation string array array subscript return entire string
array of characters need a termination character as well as size specification whether its explicit or implicit.,5.0,1.0,array of characters need a termination character as well as size specification whether its explicit or implicit,"['array', 'characters', 'need', 'termination', 'character', 'well', 'size', 'specification', 'whether', 'explicit', 'implicit']",array charact need termin charact well size specif whether explicit implicit,array character need termination character well size specification whether explicit implicit
when using an array individual characters can be accessed and manipulated.,2.5,0.0,when using an array individual characters can be accessed and manipulated,"['using', 'array', 'individual', 'characters', 'accessed', 'manipulated']",use array individu charact access manipul,using array individual character accessed manipulated
strings declared using an array of characters could result in data loss if character array not initialized large enough.,4.0,1.0,strings declared using an array of characters could result in data loss if character array not initialized large enough,"['strings', 'declared', 'using', 'array', 'characters', 'could', 'result', 'data', 'loss', 'character', 'array', 'initialized', 'large', 'enough']",string declar use array charact could result data loss charact array initi larg enough,string declared using array character could result data loss character array initialized large enough
"an array is passed by reference therefore if an array of characters is changed, the memory is changed not just the variable",3.5,0.0,an array is passed by reference therefore if an array of characters is changed the memory is changed not just the variable,"['array', 'passed', 'reference', 'therefore', 'array', 'characters', 'changed', 'memory', 'changed', 'variable']",array pass refer therefor array charact chang memori chang variabl,array passed reference therefore array character changed memory changed variable
"the type string has several built-in functions not available when using a char array, but the individual characters in an array or more directly accessible than the characters in a string type string.",3.5,0.0,the type string has several built-in functions not available when using a char array but the individual characters in an array or more directly accessible than the characters in a string type string,"['type', 'string', 'several', 'built-in', 'functions', 'available', 'using', 'char', 'array', 'individual', 'characters', 'array', 'directly', 'accessible', 'characters', 'string', 'type', 'string']",type string sever built-in function avail use char array individu charact array directli access charact string type string,type string several built-in function available using char array individual character array directly accessible character string type string
"declaring a string, it includes white spaces but declaring a array of character does not include white spaces",1.5,0.0,declaring a string it includes white spaces but declaring a array of character does not include white spaces,"['declaring', 'string', 'includes', 'white', 'spaces', 'declaring', 'array', 'character', 'include', 'white', 'spaces']",declar string includ white space declar array charact includ white space,declaring string includes white space declaring array character include white space
"an array of characters has one element a string doesnt have. it is the termination element, or null",5.0,1.0,an array of characters has one element a string doesnt have it is the termination element or null,"['array', 'characters', 'one', 'element', 'string', 'doesnt', 'termination', 'element', 'null']",array charact one element string doesnt termin element null,array character one element string doesnt termination element null
Strings declared using the type string can vary in length. Strings declared using an array of characters can not extend past the array length.,4.0,1.0,strings declared using the type string can vary in length strings declared using an array of characters can not extend past the array length,"['strings', 'declared', 'using', 'type', 'string', 'vary', 'length', 'strings', 'declared', 'using', 'array', 'characters', 'extend', 'past', 'array', 'length']",string declar use type string vari length string declar use array charact extend past array length,string declared using type string vary length string declared using array character extend past array length
